Basis of record	Data origin	Institution	Catalogue number	Scientific name	Latitude	Longitude	Country	Department/State/Province	Municipality	Site	Observation	References
PRESERVED_SPECIMEN	Literature	Estación Biológica de Rancho Grande	EBRG 2166	"Caluromys philander (Linnaeus, 1758)"	1.85	-67.05	Venezuela	Amazonas	San Carlos de Río Negro Río Negro	Caño Ardabo		López Fuster et al. 2008
MACHINE_OBSERVATION	Database	Fundación Puerto Rastrojo - Colômbia	FPR-COLOMBIA 63750	"Caluromys philander (Linnaeus, 1758)"	1.916666667	-67.06666667	Venezuela	Amazonas	Rio Negro	Caño Ardabo San Carlos		speciesLink (http://www.splink.org.br)
HUMAN_OBSERVATION	Database	"Consejo comunitario de Cupica Rio, Selva y Mar Cupica"	Fuana:0687	"Caluromys derbianus (Waterhouse, 1841)"	6.71801	-77.48964	Colombia	Chocó	Juradó	Cupica		GBIF.org
PRESERVED_SPECIMEN	Database	Universidad Tecnológica de Chocó	UTCH:CMCH:000020	"Caluromys derbianus (Waterhouse, 1841)"	5.667778	-76.57	Colombia	Chocó	Quibdó	Pacurita (Cabí)		GBIF.org
PRESERVED_SPECIMEN	Database	Museo de La Salle	"LaSalle:MLS-mam:218, 1075-1076"	"Caluromys derbianus (Waterhouse, 1841)"	5.789748	-75.785499	Colombia	Antioquia	Jericó	Jericó		GBIF.org
PRESERVED_SPECIMEN	Database	Museo de La Salle	LaSalle:MLS-mam:219	"Caluromys derbianus (Waterhouse, 1841)"	6.439227	-75.331644	Colombia	Antioquia	Barbosa	Barbosa		GBIF.org
PRESERVED_SPECIMEN	Database	Museo de Historia Natural de la Universidad del Cauca	MHNUCA:Mammal:1801	"Caluromys derbianus (Waterhouse, 1841)"	5.054444	-75.471944	Colombia	Caldas	Manizales	Reserva Natural Río Blanco		GBIF.org
HUMAN_OBSERVATION	Database	Corporación para la Gestión Ambiental Biodiversa	BIODIVERSA-ACODAL:2014-MM-030	"Caluromys derbianus (Waterhouse, 1841)"	4.890375	-76.036314	Colombia	Valle del Cauca	El Águila	"Corregimiento Quebrada Grande-La María, Zona rural municipio El Águila, Vereda La Palma, Predio La Palma"		GBIF.org
HUMAN_OBSERVATION	Database	Corporación para la Gestión Ambiental Biodiversa	BIODIVERSA-ACODAL:2014-MM-053	"Caluromys derbianus (Waterhouse, 1841)"	4.786656	-76.072353	Colombia	Valle del Cauca	Ansermanuevo	"Corregimiento Lucitania, Vereda Real Placer, Predio El Jardín"		GBIF.org
HUMAN_OBSERVATION	Database	Corporación para la Gestión Ambiental Biodiversa	BIODIVERSA-ACODAL:2014-MM-594	"Caluromys derbianus (Waterhouse, 1841)"	3.823642	-76.214111	Colombia	Valle del Cauca	Guacarí	"Corregimiento Santa Rosa de Tapias, Vereda Alto de Tapias, predio El Tabor 3"		GBIF.org
HUMAN_OBSERVATION	Database	Corporación para la Gestión Ambiental Biodiversa	BIODIVERSA-ACODAL:2014-MM-410	"Caluromys derbianus (Waterhouse, 1841)"	4.808203	-76.203478	Colombia	Valle del Cauca	El Cairo	"Corregimiento Alto Bonito, Vereda Alto Bonito, predio La Abadía"		GBIF.org
HUMAN_OBSERVATION	Database	Corporación para la Gestión Ambiental Biodiversa	BIODIVERSA-ACODAL:2014-MM-662	"Caluromys derbianus (Waterhouse, 1841)"	3.825078	-76.200167	Colombia	Valle del Cauca	Guacarí	"Corregimiento Monterrey, Vereda Miraflores, predio Las Fuentes"		GBIF.org
HUMAN_OBSERVATION	Database	Corporación para la Gestión Ambiental Biodiversa	BIODIVERSA-ACODAL:2014-MM-237	"Caluromys derbianus (Waterhouse, 1841)"	3.869506	-76.12805	Colombia	Valle del Cauca	Guadalajara de Buga	"Corregimiento Crucero Nogales, Predio Rinconadas"		GBIF.org
HUMAN_OBSERVATION	Database	Corporación para la Gestión Ambiental Biodiversa	BIODIVERSA-ACODAL:2014-MM-433	"Caluromys derbianus (Waterhouse, 1841)"	4.792267	-76.232467	Colombia	Valle del Cauca	El Cairo	"Corregimiento Cabecera municipal, Vereda Vallecitos, predio La Florida"		GBIF.org
HUMAN_OBSERVATION	Database	Corporación para la Gestión Ambiental Biodiversa	BIODIVERSA-ACODAL:2014-MM-826	"Caluromys derbianus (Waterhouse, 1841)"	3.396753	-76.173442	Colombia	Valle del Cauca	Pradera	"Corregimiento San Isidro, predio La Cuchilla"		GBIF.org
HUMAN_OBSERVATION	Database	Corporación para la Gestión Ambiental Biodiversa	BIODIVERSA-ACODAL:2014-MM-628	"Caluromys derbianus (Waterhouse, 1841)"	3.820861	-76.211369	Colombia	Valle del Cauca	Guacarí	"Corregimiento Santa Rosa de Tapias, Vereda Alto de Tapias, predio El Silencio"		GBIF.org
HUMAN_OBSERVATION	Database	Corporación para la Gestión Ambiental Biodiversa	BIODIVERSA-ACODAL:2014-MM-740	"Caluromys derbianus (Waterhouse, 1841)"	3.58455	-76.043867	Colombia	Valle del Cauca	Palmira	"Corregimiento Toche, Vereda Cabuyal adentro, paraje Los Chorros, predio Lusitania"		GBIF.org
HUMAN_OBSERVATION	Database	Corporación para la Gestión Ambiental Biodiversa	BIODIVERSA-ACODAL:2014-MM-783	"Caluromys derbianus (Waterhouse, 1841)"	3.546531	-76.0652	Colombia	Valle del Cauca	Palmira	"Corregimiento Toche, Paraje Los Chorros, predio Santa Ana de los Caballeros"		GBIF.org
HUMAN_OBSERVATION	Database	Corporación para la Gestión Ambiental Biodiversa	BIODIVERSA-ACODAL:2014-MM-076	"Caluromys derbianus (Waterhouse, 1841)"	4.783331	-76.033369	Colombia	Valle del Cauca	Ansermanuevo	"Corregimiento Lucitania, Vereda Real Placer, Predio El Topacio"		GBIF.org
HUMAN_OBSERVATION	Database	Corporación para la Gestión Ambiental Biodiversa	BIODIVERSA-ACODAL:2014-MM-001	"Caluromys derbianus (Waterhouse, 1841)"	4.845017	-76.131647	Colombia	Valle del Cauca	El Águila	"Corregimiento Catarina-El Embal, Zona rural municipio El Águila, paraje Montebello, Vereda El Embal, predio La Sonora"		GBIF.org
HUMAN_OBSERVATION	Database	Instituto de Investigaciones Ambientales del Pacífico John Von Neumann - IIAP	IIAP_JÁNANO_Mamma_04	"Caluromys derbianus (Waterhouse, 1841)"	5.6805	-77.248056	Colombia	Chocó	Nuquí	Corregimiento de Arusí		GBIF.org
PRESERVED_SPECIMEN	Database	Museo de Historia Natural de la Universidad del Cauca	"MHNUCA:Mammal:382, 383"	"Caluromys derbianus (Waterhouse, 1841)"	4.996889	-75.594417	Colombia	Caldas	Manizales	"Vereda Hoyo Frío, Cenicafé"		GBIF.org
PRESERVED_SPECIMEN	Database	Museo de Historia Natural de la Universidad del Cauca	MHNUCA:Mammal:378	"Caluromys derbianus (Waterhouse, 1841)"	5.006694	-75.81125	Colombia	Caldas	Belalcázar	Casco urbano		GBIF.org
PRESERVED_SPECIMEN	Database	Museo de Historia Natural de la Universidad del Cauca	MHNUCA:Mammal:248	"Caluromys derbianus (Waterhouse, 1841)"	4.9969	-75.5944	Colombia	Caldas	Manizales	Vereda Hoyo Frío		GBIF.org
HUMAN_OBSERVATION	Database	Asociación SELVA: Investigación para la Conservación en el Neotrópico	DARIEN03911 SELVADU3911	"Caluromys derbianus (Waterhouse, 1841)"	8.63694	-77.34803	Colombia	Chocó	Acandí	Capurgana		GBIF.org
PRESERVED_SPECIMEN	Database	Royal Ontario Museum	ROM:Mammals:69493	"Caluromys derbianus (Waterhouse, 1841)"	3	-76.583333	Colombia	Cauca		Mazamorrero		GBIF.org
PRESERVED_SPECIMEN	Database	Royal Ontario Museum	"ROM:Mammals:49233-49235, 40384, 40388"	"Caluromys derbianus (Waterhouse, 1841)"	1.148889	-76.647778	Colombia	Putumayo		Mocoa		GBIF.org
HUMAN_OBSERVATION	Database	Corantioquia	Corantioquia-4755-75E6273E52D74061BDA971BD8B369F38	"Caluromys derbianus (Waterhouse, 1841)"	5.66	-75.88	Colombia	Antioquia	El Bagre			GBIF.org
HUMAN_OBSERVATION	Database	Corantioquia	Corantioquia-4755-0A6A812C7B5C4164B51980B5BED05202	"Caluromys derbianus (Waterhouse, 1841)"	7.18	-75.77	Colombia	Antioquia	Ituango			GBIF.org
PRESERVED_SPECIMEN	Database	Field Museum of Natural History	FMNH 69327	"Caluromys derbianus (Waterhouse, 1841)"	7.9	-76.3	Colombia	Córdoba		"Rio Nain, upper Rio Sinu"		GBIF.org
PRESERVED_SPECIMEN	Database	Field Museum of Natural History	FMNH 69800-69804	"Caluromys derbianus (Waterhouse, 1841)"	8.097215	-77.213341	Colombia	Chocó	Unguia			GBIF.org
OCCURRENCE	Literature			"Caluromys derbianus (Waterhouse, 1841)"	7.579029	-75.349545	Colombia	Antioquia	Cáceres	Rio Cauca a 75 m river		Gardner (2008)
OCCURRENCE	Literature			"Caluromys derbianus (Waterhouse, 1841)"	5.05	-75.56	Colombia	Risaralda	Apía 	Rio Apía		Gardner (2008)
OCCURRENCE	Literature			"Caluromys derbianus (Waterhouse, 1841)"	3.15	-76.4	Colombia	Valle del cauca	Cali	"Rio Cauquetá, Near cali 1,000 metros"		Gardner (2008)
PRESERVED_SPECIMEN	Literature	Instituto de Ciencias Naturales de la Universidad Nacional de Colombia	ICN 16146 	"Caluromys derbianus (Waterhouse, 1841)"	5.103611	-75.4825	Colombia	Caldas	Manizales	Reserva hidrográfica río blanco	Electrocutaded	Sánchez and Alvear (2003)
OCCURRENCE	Literature			"Caluromys derbianus (Waterhouse, 1841)"	1.333333333	-78.15	Colombia	Nariño		Junín		Ramírez-Chaves et al. (2010)
